#First node,Second node,Weight
1,1,5.060156752235733
1,10,0.8
1,44,0.9
1,48,1.0
1,51,0.9
1,56,0.9
1,58,0.9
1,59,0.7
1,68,0.8
1,75,1.0
1,82,1.0
2,2,5.060156752235733
2,21,0.8
2,39,0.5
2,40,0.5
2,41,0.8
2,56,0.7
2,62,0.7
2,75,0.7
2,76,0.6
3,3,5.060156752235733
3,20,0.8
3,24,1.0
3,33,1.0
3,41,0.9
3,44,1.0
3,48,0.7
3,56,0.7
3,63,0.9
3,78,0.9
3,79,0.9
3,87,0.7
4,4,5.060156752235733
4,9,0.5
4,12,0.8
4,40,0.8
4,41,0.6
4,53,0.7
4,54,0.5
4,61,0.9
4,62,0.7
4,63,0.9
4,68,0.6
4,76,0.9
4,88,0.7
4,99,1.0
5,5,5.060156752235733
5,7,0.8
5,19,0.7
5,22,0.6
5,34,0.9
5,38,0.6
5,44,0.8
5,61,0.6
5,62,1.0
5,81,1.0
5,92,0.9
5,95,0.9
6,6,5.060156752235733
6,7,0.7
6,9,0.6
6,10,0.9
6,13,0.5
6,37,0.9
6,45,0.7
6,47,0.7
6,53,1.0
6,59,0.7
6,62,0.7
6,82,0.5
6,93,0.6
6,94,1.0
7,7,5.060156752235733
7,9,1.0
7,20,0.8
7,37,1.0
7,46,0.8
7,62,0.5
7,79,0.9
7,83,0.7
7,96,0.7
7,99,0.9
8,8,5.060156752235733
8,18,1.0
8,22,0.9
8,29,0.7
8,31,0.6
8,35,0.6
8,40,0.6
8,45,0.9
8,48,0.6
8,57,0.5
8,63,0.9
8,66,0.6
8,68,0.9
8,73,0.7
8,82,0.6
8,90,0.9
8,96,0.9
9,9,5.060156752235733
9,10,0.5
9,16,0.9
9,21,1.0
9,39,1.0
9,44,0.5
9,49,1.0
9,61,0.6
9,76,0.6
9,81,0.6
9,95,0.9
10,10,5.060156752235733
10,28,1.0
10,32,0.5
10,37,0.7
10,61,0.6
10,69,0.6
10,78,0.6
10,82,0.6
10,83,0.6
10,90,0.6
10,93,0.8
11,11,5.060156752235733
11,12,0.8
11,17,0.8
11,19,0.6
11,24,0.7
11,25,0.9
11,26,0.7
11,31,0.7
11,32,1.0
11,34,0.6
11,42,1.0
11,45,0.8
11,46,0.9
11,61,1.0
11,67,0.6
11,74,0.7
11,86,0.9
11,93,0.7
12,12,5.060156752235733
12,24,0.8
12,31,0.5
12,59,0.7
12,65,0.7
12,71,0.9
12,76,0.5
12,80,0.6
12,85,0.7
12,97,0.9
13,13,5.060156752235733
13,34,1.0
13,42,0.9
13,45,0.5
13,46,0.9
13,60,0.7
13,80,0.6
13,83,0.7
13,92,0.6
13,93,0.6
14,14,5.060156752235733
14,24,0.6
14,35,0.9
14,55,0.8
14,63,0.8
14,88,0.9
14,98,0.5
15,15,5.060156752235733
15,20,0.5
15,31,0.7
15,34,0.9
15,35,0.7
15,49,0.6
15,52,0.9
15,53,0.7
15,72,0.9
15,78,0.9
15,84,1.0
15,95,0.6
15,97,0.9
15,98,0.7
16,16,5.060156752235733
16,24,1.0
16,30,0.7
16,33,1.0
16,45,0.7
16,56,0.9
16,58,0.8
16,63,0.8
16,88,0.8
16,90,0.6
17,17,5.060156752235733
17,24,0.6
17,37,0.7
17,41,0.8
17,50,0.8
17,56,0.7
17,59,0.7
17,61,0.8
17,66,0.8
17,71,0.9
17,77,0.9
17,82,0.7
17,83,1.0
17,94,0.8
18,18,5.060156752235733
18,21,0.6
18,23,1.0
18,27,0.7
18,31,0.8
18,33,0.8
18,34,0.6
18,44,1.0
18,48,1.0
18,60,0.6
18,63,1.0
18,69,0.6
18,72,0.5
18,74,0.7
18,95,0.6
18,98,0.9
19,19,5.060156752235733
19,21,1.0
19,25,0.9
19,34,0.8
19,37,0.6
19,56,0.5
19,66,0.8
19,67,0.5
19,93,0.6
20,20,5.060156752235733
20,51,0.5
20,56,0.7
20,58,0.7
20,77,0.8
20,80,0.6
20,86,1.0
20,91,0.6
20,96,0.6
20,98,0.5
21,21,5.060156752235733
21,22,0.7
21,47,0.8
21,54,0.8
21,77,0.6
21,90,0.6
21,94,0.8
22,22,5.060156752235733
22,30,1.0
22,34,0.8
22,35,0.7
22,48,0.6
22,54,0.8
22,91,0.8
23,23,5.060156752235733
23,28,0.9
23,30,0.5
23,32,0.5
23,38,1.0
23,56,0.7
23,62,0.9
23,63,0.9
23,70,0.6
23,76,1.0
23,90,0.7
23,94,0.9
23,97,0.9
23,100,0.9
24,24,5.060156752235733
24,29,0.9
